Designator,Mid X,Mid Y,Rotation,Layer
C1,120.2163,-76.06,180.0,bottom
C2,120.2163,-86.06,180.0,bottom
D1,113.19,-78.76,180.0,top
D2,129.615,-78.76,180.0,top
D3,146.04,-78.76,180.0,top
D4,162.465,-78.76,180.0,top
D5,178.89,-78.76,180.0,top
J1,203.215,-82.8349,0.0,bottom
R1,118.1,-83.34,90.0,bottom
R2,118.09,-78.78,90.0,bottom
R3,167.75,-77.06,90.0,bottom
R4,167.75,-85.06,90.0,bottom
R5,173.2775,-76.32,180.0,bottom
SW1,113.19,-83.26,0.0,top
SW2,129.615,-83.26,0.0,top
SW3,146.04,-83.26,0.0,top
SW4,162.465,-83.26,0.0,top
SW5,178.89,-83.26,0.0,top
TP1,182.165,-77.9767,0.0,bottom
TP2,182.165,-84.1433,0.0,bottom
U1,112.8175,-84.06,0.0,bottom
U2,112.8175,-78.06,0.0,bottom
U3,162.465,-78.06,0.0,bottom
U4,162.465,-84.06,0.0,bottom
U5,177.06,-81.06,270.0,bottom
U7,138.182,-81.06,270.0,bottom
